Dual_Attn_1_-1_6
(2.9274637699127197, 1.0578151941299438)
Prepare Data : 8.548205 s
Epoch 0 : Train MSE : 2.029816, Train MAE : 0.961356 , Test MSE : 2.112610 , Test MAE : 0.963572 , Lr : 0.001000 , Time: 97.376842 s .
Epoch 1 : Train MSE : 1.873888, Train MAE : 0.917618 , Test MSE : 2.008193 , Test MAE : 0.933878 , Lr : 0.001000 , Time: 90.492534 s .
Epoch 2 : Train MSE : 1.909967, Train MAE : 0.965019 , Test MSE : 2.040931 , Test MAE : 0.982199 , Lr : 0.001000 , Time: 94.410622 s .
Epoch 3 : Train MSE : 1.689623, Train MAE : 0.867627 , Test MSE : 1.855438 , Test MAE : 0.892203 , Lr : 0.001000 , Time: 89.592377 s .
Epoch 4 : Train MSE : 1.661815, Train MAE : 0.862696 , Test MSE : 1.836082 , Test MAE : 0.887156 , Lr : 0.001000 , Time: 91.787602 s .
Epoch 5 : Train MSE : 1.637756, Train MAE : 0.858715 , Test MSE : 1.823217 , Test MAE : 0.880279 , Lr : 0.001000 , Time: 93.382926 s .
Epoch 6 : Train MSE : 1.541806, Train MAE : 0.837889 , Test MSE : 1.746409 , Test MAE : 0.866218 , Lr : 0.001000 , Time: 99.751701 s .
Epoch 7 : Train MSE : 1.489447, Train MAE : 0.818647 , Test MSE : 1.733754 , Test MAE : 0.851990 , Lr : 0.001000 , Time: 91.510956 s .
Epoch 8 : Train MSE : 1.486757, Train MAE : 0.822568 , Test MSE : 1.742538 , Test MAE : 0.862206 , Lr : 0.001000 , Time: 88.658611 s .
Epoch 9 : Train MSE : 1.434927, Train MAE : 0.814057 , Test MSE : 1.699509 , Test MAE : 0.853209 , Lr : 0.001000 , Time: 90.929592 s .
Epoch 10 : Train MSE : 1.340241, Train MAE : 0.786618 , Test MSE : 1.652750 , Test MAE : 0.839933 , Lr : 0.000500 , Time: 89.565688 s .
Epoch 11 : Train MSE : 1.424706, Train MAE : 0.838625 , Test MSE : 1.748742 , Test MAE : 0.891804 , Lr : 0.000500 , Time: 92.154522 s .
Epoch 12 : Train MSE : 1.301452, Train MAE : 0.781868 , Test MSE : 1.622227 , Test MAE : 0.838124 , Lr : 0.000500 , Time: 90.790534 s .
Epoch 13 : Train MSE : 1.356191, Train MAE : 0.814277 , Test MSE : 1.683253 , Test MAE : 0.867978 , Lr : 0.000500 , Time: 89.481069 s .
Epoch 14 : Train MSE : 1.264760, Train MAE : 0.768453 , Test MSE : 1.611932 , Test MAE : 0.830192 , Lr : 0.000500 , Time: 92.156924 s .
Epoch 15 : Train MSE : 1.266759, Train MAE : 0.781881 , Test MSE : 1.604824 , Test MAE : 0.842229 , Lr : 0.000500 , Time: 92.228882 s .
Epoch 16 : Train MSE : 1.259289, Train MAE : 0.771717 , Test MSE : 1.620380 , Test MAE : 0.838161 , Lr : 0.000500 , Time: 90.502895 s .
Epoch 17 : Train MSE : 1.208742, Train MAE : 0.751723 , Test MSE : 1.551136 , Test MAE : 0.814493 , Lr : 0.000500 , Time: 91.816241 s .
Epoch 18 : Train MSE : 1.232427, Train MAE : 0.768383 , Test MSE : 1.582367 , Test MAE : 0.832405 , Lr : 0.000500 , Time: 95.104830 s .
Epoch 19 : Train MSE : 1.212624, Train MAE : 0.765726 , Test MSE : 1.568624 , Test MAE : 0.831751 , Lr : 0.000500 , Time: 90.561627 s .
Epoch 20 : Train MSE : 1.195468, Train MAE : 0.753772 , Test MSE : 1.558637 , Test MAE : 0.821008 , Lr : 0.000500 , Time: 90.805318 s .
Epoch 21 : Train MSE : 1.176303, Train MAE : 0.749338 , Test MSE : 1.530202 , Test MAE : 0.816443 , Lr : 0.000500 , Time: 85.413435 s .
Epoch 22 : Train MSE : 1.171704, Train MAE : 0.747720 , Test MSE : 1.536216 , Test MAE : 0.817248 , Lr : 0.000500 , Time: 87.071043 s .
Epoch 23 : Train MSE : 1.170713, Train MAE : 0.750798 , Test MSE : 1.532814 , Test MAE : 0.815933 , Lr : 0.000500 , Time: 92.857969 s .
Epoch 24 : Train MSE : 1.168858, Train MAE : 0.750368 , Test MSE : 1.540064 , Test MAE : 0.817878 , Lr : 0.000500 , Time: 91.570516 s .
Epoch 25 : Train MSE : 1.143864, Train MAE : 0.744151 , Test MSE : 1.525703 , Test MAE : 0.817072 , Lr : 0.000500 , Time: 89.602925 s .
